trial,T_n,centered_by_n13,zscore
344,1590,-1.5587999999999966,-1.3073960538139049
345,1616,1.0412000000000035,0.87327480833400395
346,1594,-1.1587999999999965,-0.97190822886807282
347,1604,-0.15879999999999656,-0.13318866650349245
348,1628,2.2412000000000036,1.8797382831715004
349,1600,-0.55879999999999652,-0.46867649144932461
350,1608,0.24120000000000347,0.20229915844233967
351,1602,-0.35879999999999657,-0.30093257897640852
352,1604,-0.15879999999999656,-0.13318866650349245
353,1616,1.0412000000000035,0.87327480833400395
354,1580,-2.5587999999999966,-2.1461156161784851
355,1612,0.64120000000000343,0.53778698338817177
356,1592,-1.3587999999999965,-1.1396521413409888
357,1602,-0.35879999999999657,-0.30093257897640852
358,1610,0.44120000000000348,0.37004307091525573
359,1590,-1.5587999999999966,-1.3073960538139049
360,1614,0.8412000000000035,0.70553089586108786
361,1610,0.44120000000000348,0.37004307091525573
362,1608,0.24120000000000347,0.20229915844233967
363,1608,0.24120000000000347,0.20229915844233967
364,1622,1.6412000000000035,1.3765065457527521
365,1598,-0.75879999999999659,-0.63642040392224064
366,1622,1.6412000000000035,1.3765065457527521
367,1616,1.0412000000000035,0.87327480833400395
368,1604,-0.15879999999999656,-0.13318866650349245
369,1606,0.041200000000003456,0.034555245969423609
370,1610,0.44120000000000348,0.37004307091525573
371,1596,-0.95879999999999654,-0.80416431639515673
372,1590,-1.5587999999999966,-1.3073960538139049
373,1614,0.8412000000000035,0.70553089586108786
374,1606,0.041200000000003456,0.034555245969423609
375,1624,1.8412000000000035,1.5442504582256682
376,1594,-1.1587999999999965,-0.97190822886807282
377,1628,2.2412000000000036,1.8797382831715004
378,1612,0.64120000000000343,0.53778698338817177
379,1610,0.44120000000000348,0.37004307091525573
380,1612,0.64120000000000343,0.53778698338817177
381,1620,1.4412000000000034,1.208762633279836
382,1612,0.64120000000000343,0.53778698338817177
383,1598,-0.75879999999999659,-0.63642040392224064
384,1614,0.8412000000000035,0.70553089586108786
385,1614,0.8412000000000035,0.70553089586108786
386,1600,-0.55879999999999652,-0.46867649144932461
387,1608,0.24120000000000347,0.20229915844233967
388,1600,-0.55879999999999652,-0.46867649144932461
389,1584,-2.1587999999999967,-1.8106277912326532
390,1628,2.2412000000000036,1.8797382831715004
391,1600,-0.55879999999999652,-0.46867649144932461
392,1576,-2.9587999999999965,-2.4816034411243173
393,1590,-1.5587999999999966,-1.3073960538139049
394,1612,0.64120000000000343,0.53778698338817177
395,1612,0.64120000000000343,0.53778698338817177
396,1616,1.0412000000000035,0.87327480833400395
397,1590,-1.5587999999999966,-1.3073960538139049
398,1624,1.8412000000000035,1.5442504582256682
399,1628,2.2412000000000036,1.8797382831715004
400,1608,0.24120000000000347,0.20229915844233967
401,1622,1.6412000000000035,1.3765065457527521
402,1598,-0.75879999999999659,-0.63642040392224064
403,1586,-1.9587999999999965,-1.6428838787597371
404,1580,-2.5587999999999966,-2.1461156161784851
405,1590,-1.5587999999999966,-1.3073960538139049
406,1598,-0.75879999999999659,-0.63642040392224064
407,1614,0.8412000000000035,0.70553089586108786
408,1614,0.8412000000000035,0.70553089586108786
409,1598,-0.75879999999999659,-0.63642040392224064
410,1580,-2.5587999999999966,-2.1461156161784851
411,1624,1.8412000000000035,1.5442504582256682
412,1606,0.041200000000003456,0.034555245969423609
413,1612,0.64120000000000343,0.53778698338817177
414,1620,1.4412000000000034,1.208762633279836
415,1604,-0.15879999999999656,-0.13318866650349245
416,1588,-1.7587999999999966,-1.475139966286821
417,1598,-0.75879999999999659,-0.63642040392224064
418,1620,1.4412000000000034,1.208762633279836
419,1616,1.0412000000000035,0.87327480833400395
420,1598,-0.75879999999999659,-0.63642040392224064
421,1612,0.64120000000000343,0.53778698338817177
422,1600,-0.55879999999999652,-0.46867649144932461
